SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,Cuda_cpu,Cuda_wall,CudaSimd_cpu,CudaSimd_wall,OpenCL_cpu,OpenCL_wall
3.34169e+06,3.3417e+06,858790,858792,7.64063e+06,955895,1.46482e+06,183212,75968,76051,79463,79539,88055,88040
3.34199e+06,3.342e+06,858860,858864,7.63995e+06,956222,1.46258e+06,183423,76055,76147,79620,79759,88012,87994
3.34158e+06,3.34159e+06,858874,858880,7.64327e+06,956284,1.46808e+06,183695,76116,76199,79407,79459,87882,87865
3.34222e+06,3.34222e+06,858787,858787,7.64956e+06,957260,1.468e+06,183537,76069,76150,79361,79426,88072,88055
3.34198e+06,3.34199e+06,858838,858842,7.6966e+06,966004,1.46667e+06,183448,76057,76135,79374,79449,87930,87913
3.34135e+06,3.34136e+06,858837,858838,7.6452e+06,956705,1.46608e+06,183364,76084,76177,79527,79596,87981,87973
3.3431e+06,3.3431e+06,860096,860100,7.70506e+06,964069,1.45923e+06,183012,75987,76078,79681,79781,87930,87904
3.34182e+06,3.34184e+06,859013,859016,7.77065e+06,972216,1.46798e+06,183657,76037,76124,79637,79734,87882,87865
3.34144e+06,3.34146e+06,858808,858813,7.77301e+06,972972,1.46658e+06,183456,76129,76203,79739,79822,88219,88217
3.3415e+06,3.3415e+06,859278,859280,7.77182e+06,972340,1.46635e+06,183301,76008,76081,79545,79611,87556,87541
3.34174e+06,3.34174e+06,859410,859408,8.65135e+06,1.08246e+06,1.46722e+06,183525,75958,76056,79670,79765,87665,87649
3.34148e+06,3.34149e+06,859205,859210,8.17085e+06,1.0848e+06,1.4662e+06,183409,76053,76128,79464,79549,87683,87660
3.34122e+06,3.34122e+06,860607,860605,8.44454e+06,1.18009e+06,1.47035e+06,184004,76549,76624,79517,79613,87768,87751
3.34196e+06,3.34196e+06,858852,858854,7.66988e+06,963878,1.469e+06,183802,75974,76047,79660,79772,87564,87556
3.34166e+06,3.34168e+06,859696,859692,7.65378e+06,957346,1.4664e+06,183428,75927,76010,79448,79526,87922,87906
3.34168e+06,3.34168e+06,858922,858926,7.63998e+06,955865,1.464e+06,183538,75973,76039,79370,79446,88058,88041
3.34182e+06,3.34182e+06,858909,858918,7.65438e+06,958024,1.46828e+06,183683,75944,76024,79427,79488,88103,88095
3.34184e+06,3.34185e+06,858652,858656,7.64952e+06,957201,1.46666e+06,183501,76142,76221,79551,79636,88027,88000
3.34152e+06,3.34155e+06,858757,858762,7.63854e+06,956103,1.47051e+06,184004,76066,76171,79429,79505,87970,87952
3.34203e+06,3.34204e+06,858704,858705,7.66014e+06,958137,1.4677e+06,183615,76143,76219,79428,79507,88066,88052
3.34148e+06,3.34148e+06,859414,859429,7.69473e+06,962572,1.46806e+06,183541,76117,76191,79487,79589,87971,87954
3.34218e+06,3.34219e+06,858918,858927,7.77557e+06,973158,1.46671e+06,183827,76158,76228,79586,79677,88050,88034
3.34139e+06,3.34139e+06,858658,858661,7.76801e+06,971826,1.47016e+06,183983,76032,76110,79379,79451,87849,87842
3.34198e+06,3.342e+06,859088,859087,7.77037e+06,972297,1.47187e+06,184221,76090,76165,79513,79597,87811,87788
3.34283e+06,3.34284e+06,858748,858749,8.58243e+06,1.07422e+06,1.46975e+06,183886,76080,76155,79494,79583,87853,87847
3.34183e+06,3.34183e+06,858580,858600,7.62112e+06,953284,1.46867e+06,183737,75942,76017,79444,79516,88203,88186
3.3422e+06,3.34222e+06,858876,858876,7.6432e+06,956405,1.50527e+06,188400,75963,76049,79526,79599,87615,87598
3.34155e+06,3.34154e+06,858589,858596,7.6378e+06,955522,1.50327e+06,188013,75996,76071,79431,79515,87679,87662
3.34192e+06,3.34195e+06,858500,858498,7.66661e+06,959479,1.50213e+06,188025,76108,76175,79526,79598,88142,88124
3.34107e+06,3.34107e+06,859374,859379,7.6569e+06,958230,1.50262e+06,188024,75902,75966,79482,79556,87860,87838
